edition,source,column_year,jurisdiction,side,instrument,value_usd_bn,unit_published,note
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Japan,short,lt_debt,-1.45,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Germany,short,total,-29.85,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Germany,short,equities,-1.59,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Germany,short,st_debt,-2.01,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Germany,short,lt_debt,-26.25,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,France,short,total,-3.65,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,France,short,equities,-0.03,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,France,short,st_debt,-1.34,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,France,short,lt_debt,-2.28,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,China,short,total,-0.51,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,China,short,equities,-0.51,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,China,short,st_debt,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,China,short,lt_debt,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Canada,short,total,-3.82,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Canada,short,equities,-1.45,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Canada,short,st_debt,-1.51,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Canada,short,lt_debt,-0.86,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Curacao,short,total,-0.01,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Curacao,short,equities,-0.01,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Curacao,short,st_debt,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Curacao,short,lt_debt,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Denmark,short,total,-0.26,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Denmark,short,equities,-0.11,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Denmark,short,st_debt,-0.15,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Denmark,short,lt_debt,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Hong Kong,short,total,-0.27,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Hong Kong,short,equities,-0.27,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Hong Kong,short,st_debt,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Hong Kong,short,lt_debt,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Ireland,short,total,-0.05,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Ireland,short,equities,-0.04,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Ireland,short,st_debt,-0.01,US$ bn,
